"dc.AccrualPeriodicity","dc.AccrualPolicy","dc.contributor.author","dc.contributor.other","dc.coverage.spatial","dc.coverage.temporal","dc.coverage.vigencia","dc.date.created","dc.date.issued","dc.date.validfinal","dc.date.validinici","dc.description","dc.description.LegislationChangedBy","dc.description.LegislationChanges","dc.description.abstract","dc.description.sponsorship","dc.description.tableofcontents","dc.description.version","dc.disposal","dc.format","dc.format.extent","dc.identifier.BG","dc.identifier.ab","dc.identifier.citation","dc.identifier.entitat","dc.identifier.isbn","dc.identifier.mandat","dc.identifier.uri","dc.language","dc.publisher","dc.relation","dc.relation.hasformat","dc.relation.haspart","dc.relation.hasversion","dc.relation.isbasedon","dc.relation.isbasisfor","dc.relation.isformatof","dc.relation.ispartof","dc.relation.isreferencedby","dc.relation.isreplacedby","dc.relation.isrequiredby","dc.relation.isversionof","dc.relation.references","dc.relation.replaces","dc.relation.requires","dc.relation.uri","dc.rights","dc.rights.accessrights","dc.rights.notes","dc.rights.rightsHolder","dc.rights.uri","dc.source","dc.subject","dc.subject.category","dc.subject.forma","dc.subject.programme","dc.title","dc.title.alternative","dc.type",
"","","Direcció d'Immigració","","Barcelona. Districte 7. Horta-Guinardó | Barcelona. District 7. Horta-Guinardó | Barcelona. Distrito 7. Horta-Guinardó","","","2006","2006","","","","","","","","","","Drets revisats. Document amb responsabilitat exclusiva de l'Ajuntament o les seves dependències i entitats autònomes.","application/pdf","16 p.","GUIARECPEN_HG_CAT-ROM","","","","","","http://hdl.handle.net/11703/98779","cat | rum","Ajuntament de Barcelona","http://hdl.handle.net/11703/91442 | http://hdl.handle.net/11703/91443 | http://hdl.handle.net/11703/91444","","","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Immigrants | Emigració i immigració | Immigrants | Emigration and immigration | Emigrantes | Emigración e inmigración","Societat i benestar","monografies","","Guia de recursos : Horta-Guinardó [versió en català i romanès]","Ghidul resulselor [versió en català i romanès]","text",
"","","Consell Econòmic i Social de Barcelona | Fundació Jaume Bofill (Barcelona)","","Barcelona | Barcelona | Barcelona","","","2007","2007","","","Forma part de la col·lecció: Quaderns del CESB","","","","","","","","application/pdf","203 p.","IMMIMERTRC","","","consells | fundacions","","","http://hdl.handle.net/11703/90339","cat","Ajuntament de Barcelona","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","","","","","Emigració i immigració | Mercat de treball | Emigration and immigration | Labor market | Emigración e inmigración | Mercado de trabajo","Ocupació","monografies","","Immigració i Mercat de Treball a la ciutat de Barcelona","","text",
"","","Àrea de Descentralització i de Participació ciutadana","","","","","1987","1987","","","Forma part de la col·lecció: Papers; 0","","","","Digitalitzat per l’empresa Artyplan per encàrrec del SEDAC","","","","application/pdf","6 p.","","","","","","","http://hdl.handle.net/11703/99981","cat","Ajuntament de Barcelona","","","","","","","Reproducció digital del document en suport original","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Descentralització administrativa | Districtes municipals | Divisions administratives i polítiques | Participació ciutadana | Decentralization in government | Local districts | Administrative and political divisions | Citizen participation | Descentralización administrativa | Distritos municipales | Divisiones administrativas y políticas | Participación ciudadana","Sector públic","monografies | documents digitalitzats","","10 preguntes bàsiques","Descentralització i participació ciutadana","text",
"","","Sector d'Urbanisme","","Barcelona | Barcelona | Barcelona","1981 | 1982 | 1983 | 1984 | 1985 | 1986 | 1987 | 1988 | 1989 | 1990 | 1991 | 1992 | 1993 | 1994 | 1995 | 1996 | 1997 | 1998 | 1999 | 2000 | 2001","","2001","2001","","","La data de publicació és aproximada | Podeu consultar la versió en català a: http://hdl.handle.net/11703/101602 | Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/101604 | Forma part de la col·lecció: llibres digitalitzats d'Urbanisme","","","","Digitalitzat per l'empresa Artyplan per encàrrec de la Biblioteca d'Urbanisme","","","Drets revisats. Document amb responsabilitat exclusiva de l'Ajuntament o les seves dependències i entitats autònomes","application/pdf","","","","","","","","http://hdl.handle.net/11703/101603","eng","Ajuntament de Barcelona","http://hdl.handle.net/11703/101602 | http://hdl.handle.net/11703/101604","","","","","","Reproducció digital del document en suport original","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Urbanisme | City planning | Urbanismo","Urbanisme i infraestructures","monografies | documents digitalitzats","","Barcelona: urban spaces 1981-2001","","text",
"","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","","No","1982-09-21","1994","1999-06-16","1983-03-02","Aprovada pel Plenari del Consell Municipal de 21-09-1982 | Deroga la ""Ordenanza municipal sobre uso del alcantarillado [1968] | Deroga els articles 1.202 a 1.213 de les Ordenances municipals [1947] | Derogada per l'Ordenança general del medi ambient urbà [1999]","","","","Digitalitzat pel SEDAC","","","","application/pdf","31 p.","6482","","Publicada també al Butlletí Oficial de la Província de Barcelona, núm. 51 (01-03-1983) i a la Gaseta municipal de Barcelona, núm. 7 (10-03-1983)","","8476096518","","http://hdl.handle.net/11703/99316","cat","Ajuntament de Barcelona","","","","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Medi ambient | Contaminació de l'aigua | Environment | Water pollution | Medio ambiente | Contaminación del agua","Legislació i justícia | Medi Ambient | Societat i benestar","monografies | ordenances municipals | documents digitalitzats","","Ordenança sobre control de la pol·lució i consum d'aigües [1982] [ed. 1994]","","text",
"","","Red de Juderías de España-Caminos de Sefarad","","","2015","","2015-04-07","2015","","","La data de publicació és aproximada.","","","","","","","","application/pdf","140 p.","","","","associacions","","","http://hdl.handle.net/11703/99787","eng | cas","","","","","","","","","","","","","","","","","","CC-BY (text) - Tots els drets reservats (fotografies)","openAccess","","Red de Juderías","http://creativecommons.org/licenses/by/4.0/deed.ca","","Allotjament turístic | Restaurants | Activitats culturals | Patrimoni cultural | Turisme | Tourist accommodation | Restaurants | Cultural animation | Cultural heritage | Tourism | Alojamientos turísticos | Restaurantes | Animación cultural | Patrimonio cultural | Turismo","Cultura i oci | Turisme","monografies","","Guia RASGO 2015","","text",
"","","Integral de Serveis al Comerç | Ajuntament de Barcelona","","Barcelona. Districte 9. Sant Andreu | Sant Andreu (Barcelona : Barri) | Barcelona. District 9. Sant Andreu | Sant Andreu (Barcelona : Neighborhood) | Barcelona. Distrito 9. Sant Andreu | Sant Andreu (Barcelona : Barrio)","","","2006-11","2006-11","","","","","","","","","","","application/pdf","47 p.","3655","","","","","","http://hdl.handle.net/11703/90528","cat","Integral de Serveis al Comerç","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","","","","","Comerç | Comerç al detall | Commerce | Retail trade | Comercio | Comercio al detalle","Comerç","monografies","","L'eix comercial de Sant Andreu: estudi d'afluència, perfil dels visitants i grau de satisfacció dels clients","","text",
"","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","","","2010","2010","","","","","","","","","","Drets revisats. Document amb responsabilitat exclusiva de l'Ajuntament o les seves dependències i entitats autònomes.","application/pdf","25 p.","BAB_10960","","","","","","http://hdl.handle.net/11703/91342","cat","Ajuntament de Barcelona","","","","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Reciclatge (Residus, etc.) | Residus | Residus orgànics | Recycling (Waste, etc.) | Waste products | Organic wastes | Reciclaje (Residuos, etc.) | Residuos | Residuos orgánicos","Medi ambient","monografies","","Pla d'educació per a la implantació de la recollida selectiva de la matèria orgànica a Barcelona: memòria d'activitats novembre 2009 - febrer 2010","","text",
"","","Consell Municipal de Medi Ambient i Sostenibilitat (Barcelona) | Agenda 21 BCN","","Barcelona | Barcelona | Barcelona","","","2009","2009","","","","","","","","","","","application/pdf","22 p.","BAB_10574","","","","","","http://hdl.handle.net/11703/91287","cat","Agenda 21 BCN | Ajuntament de Barcelona Consell Municipal de Medi Ambient i Sostenibilitat","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","","","","","Educació ambiental | Avaluació | Environmental education | Evaluation | Educación ambiental | Evaluación","Medi ambient | Educació","monografies","","Avaluació de la Secretaria de l'Agenda 21: resultats de la consulta on-line i propostes de futur","","text",
"","","Regidoria d'Educació i Universitats | Institut Municipal d'Educació (Barcelona)","","Barcelona | Barcelona | Barcelona","","","2014","2014","","","Aquesta guia forma part del programa Patis Escolars Oberts al Barri, que porta a terme l'Institut Municipal d'Educació de Barcelona amb la col·laboració del Consorci d'Educació de Barcelona i els districtes municipals","","","","","","","Drets revisats. Document amb responsabilitat exclusiva de l'Ajuntament o les seves dependències i entitats autònomes.","application/pdf","","17778 | 17779 | 17780 | 17781 | 17782 | 17783 | 17784 | 17785 | 17786 | 17787 | 17788 | 17789 | 17790 | 17791 | 17792 | 17793 | 17794 | 17795 | 17796 | 17797 | 17798 | 17799 | 17800 | 17801","","","","","","http://hdl.handle.net/11703/90016","cat","Ajuntament de Barcelona","","","","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Activitats extraescolars | Student activities | Actividades extraescolares","Societat i benestar | Educació","monografies","","Guia d'entitats, serveis i equipaments públics. Activitats extraescolars al barri 3-16 anys. Curs 2014-2015","","text",
"","","Sindicatura de Greuges de Barcelona","","Barcelona | Barcelona | Barcelona","","","2007-07","2007-07","","","","","","","","","","","application/pdf","9 p.","4654","","","","","","http://hdl.handle.net/11703/90707","cat","Síndica de Greuges de Barcelona","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","","","","","Atenció domiciliària | Discapacitats | Dependència en les persones grans | Serveis socials | Atenció domiciliària | Home care services | People with disabilities | Dependency (Psychology) in old age | Human services | Home care services | Atención a domicilio | Personas con discapacidad | Ancianos con discapacidad | Servicios sociales | Atención a domicilio","Societat i benestar","monografies","","Reflexions i propostes sobre el desplegament de la Llei de la dependència: algunes consideracions sobre el Servei d'Ajuda a Domicili (SAD) a Barcelona","","text",
"","","Agència de Salut Pública de Barcelona | Consorci Sanitari de Barcelona | Artazcoz Lazcano, Lucía","","Barcelona | Barcelona | Barcelona","","","2018","2018","","","","","","","","","","","application/pdf","17 p.","","","","","","","http://hdl.handle.net/11703/109704","cat","Ajuntament de Barcelona","","","","","","","","","","","","","","","","","CC-BY","openAccess","","Agència de Salut Pública de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Salut pública | Salut mental | Public health | Mental health | Salud pública | Salud mental","Salut","monografies","","El transtorn d'acumulació : una perspectiva de salut pública","","text",
"","","Consell Municipal d'Immigració (Barcelona)","","Barcelona. Districte 1. Ciutat Vella | Barceloneta (Barcelona : Barri) | Barcelona. Distrito 1. Ciutat Vella | Barceloneta (Barcelona : Barrio) | Barcelona. District 1. Ciutat Vella | Barceloneta (Barcelona : Neighborhood)","2013","","2013","2013","","","","","","","","","","","application/pdf","4 documents","","","","consells","","","http://hdl.handle.net/11703/110941","cat","Consell Municipal d'Immigració","","","","","","","","","","","","","","","","","CC-BY","openAccess","","Consell Municipal d'Immigració (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca | http://creativecommons.org/licenses/by/4.0/deed.es | http://creativecommons.org/licenses/by/4.0/deed.en","","Immigrants | Activitats culturals | Festes | Associacions, institucions, etc. | Emigrantes | Animación cultural | Fiestas | Asociaciones, instituciones, etc. | Immigrants | Cultural animation | Festivals | Associations, institutions, etc.","Cultura i oci","monografies","","Trobada d'entitats del Consell Municipal d'Immigració de Barcelona 2013 : vine a la festa i gaudeix de la diversitat cultural de la ciutat","Trobada BCN Ciutat Diversa 2013 : trobada d'entitats del Consell Municipal d'Immigració de Barcelona","text",
"","","Barcelona Activa, S.A.","","Barcelona | Barcelona | Barcelona","","","2011","2011","","","A la portada: Barcelona Activa Iniciativa emprenedora | Forma part de la col·lecció: Informes en profunditat; 72","","","","","","","","application/pdf","15 p.","8373","","","societats mercantils","","","http://hdl.handle.net/11703/90858","cat","Barcelona Activa, S.A.","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l'àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual","Barcelona Activa, S.A.","","","Empreses | Treballadors autònoms | Emprenedoria | Drets dels treballadors | Business enterprises | Self-employed | Entrepreneurship | Employee rights | Empresas | Trabajadores autónomos | Emprendedores | Trabajadores -- Derechos","Economia | Ocupació","monografies","","L'Estatut del Treball Autònom","","text",
"","","Aiguasol, Sistemes Avançats d'Energia Solar Tèrmica, S.C.C.L. | Feu, Lucia | Pascual, Isabel | Àrea de Medi Ambient | Agència Local d'Energia de Barcelona | Barcelona Regional Agència de Desenvolupament Urbà, S.A. | París López, Antoni","","Barcelona | Barcelona | Barcelona","2000 | 2001 | 2002 | 2003 | 2004 | 2005 | 2006 | 2007 | 2008 | 2009","","2013","2013","","","Aquest estudi forma part del conjunt de documents sectorials que han servit de material tècnic de base per a la redacció del Pla de l'energia, canvi climàtic i qualitat de l'aire de Barcelona 2011-2020 (PECO) i de la Diagnosi energètica de Barcelona.","","","","","","","Drets revisats. El document informa explícitament sobre la llicència CC o CopyLeft.","application/pdf","","","","","consorcis | societats mercantils","","","http://hdl.handle.net/11703/97812","cat","Ajuntament de Barcelona","","","","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Rehabilitació de l'habitatge | Estalvi d'energia | Arquitectura i estalvi d'energia | Housing rehabilitation | Energy conservation | Architecture and energy conservation | Rehabilitación de viviendas | Ahorro de energía | Arquitectura y ahorro de energía","Urbanisme i infraestructures | Habitatge | Medi ambient","monografies","Pla d'Energia, Canvi Climàtic i Qualitat de l'Aire 2011-2020 (Barcelona)","Propostes per a la rehabilitació energètica d'habitatges a Barcelona","","text",
